Exam type,Year,A1 - B3,C4-C6,A1-C6,Passrate_A1-C6,D7-E8,F9,Total Students,Subject 
NECO,2020,2,53,55,32.35,115,0,170,MATH
NECO,2020,5,32,37,28.24,91,3,131,PHYSICS
WASSCE,2020,0,15,15,9.87,74,63,152,MATH
WASSCE,2020,7,74,81,29.24,191,5,277,PHYSICS
NECO,2021,13,91,104,31.33,226,2,332,MATH
NECO,2021,5,49,54,22.50,180,6,240,PHYSICS
WASSCE,2021,50,68,118,37.70,195,0,313,MATH
WASSCE,2021,30,87,117,35.35,214,0,331,PHYSICS
NECO,2018,19,40,59,37.11,100,0,159,MATH
NECO,2018,1,53,54,31.76,116,0,170,PHYSICS
WASSCE,2018,57,43,100,40.00,149,1,250,MATH
WASSCE,2018,9,73,82,31.42,179,0,261,PHYSICS
NECO,2019,0,46,46,31.08,100,2,148,MATH
NECO,2019,3,49,52,33.55,102,1,155,PHYSICS
WASSCE,2019,1,12,13,6.31,83,110,206,MATH
WASSCE,2019,15,61,76,28.57,181,9,266,PHYSICS
WAEC_SCHCONN,2023,39,1,40,100.00,0,0,40,MATH
WAEC_SCHCONN,2023,0,0,13,32.50,21,6,40,PHYSICS
NECO_SCHCONN,2023,0,0,23,95.83,1,0,24,MATH
NECO_SCHCONN,2023,0,0,18,75.00,6,0,24,PHYSICS